id,title,content,examples,text,topic,difficulty,level
1,What is Python?,"Python is a programming language used to write code that computers can understand. It is popular for being simple, readable, and powerful.","[""print('Python is fun!')""]","Lesson 1: What is Python? Python is a programming language used to write code that computers can understand. It is popular for being simple, readable, and powerful. Examples: print('Python is fun!')",Python Basics,Beginner,1
2,Printing Text,The print() function displays text or numbers on the screen. Text must be inside quotes.,"[""print('Hello, world!')"", ""print('Welcome to Python!')""]","Lesson 2: Printing Text The print() function displays text or numbers on the screen. Text must be inside quotes. Examples: print('Hello, world!') print('Welcome to Python!')",Python Basics,Beginner,1
3,Comments,Comments are notes in your code that Python ignores. They start with the # symbol.,"['# This is a comment', ""print('Python ignores comments!')""]",Lesson 3: Comments Comments are notes in your code that Python ignores. They start with the # symbol. Examples: # This is a comment print('Python ignores comments!'),Python Basics,Beginner,1
4,Running Python Code,"You can run Python code in an editor, a terminal, or an online environment. Code runs line by line, from top to bottom.","[""print('This line runs first!')"", ""print('Then this one!')""]","Lesson 4: Running Python Code You can run Python code in an editor, a terminal, or an online environment. Code runs line by line, from top to bottom. Examples: print('This line runs first!') print('Then this one!')",Python Basics,Beginner,1
5,Variables,Variables are used to store information. You can give a name to a value using the = sign.,"[""name = 'John'"", 'age = 21', 'print(name, age)']","Lesson 5: Variables Variables are used to store information. You can give a name to a value using the = sign. Examples: name = 'John' age = 21 print(name, age)",Python Basics,Beginner,1
6,Rules for Variable Names,"Variable names must start with a letter or underscore, cannot have spaces, and are case-sensitive.","[""my_name = 'John'"", '_count = 5', ""# my name = 'John'  ❌ (invalid)""]","Lesson 6: Rules for Variable Names Variable names must start with a letter or underscore, cannot have spaces, and are case-sensitive. Examples: my_name = 'John' _count = 5 # my name = 'John' ❌ (invalid)",Python Basics,Beginner,1
7,Data Types,"Common data types in Python are int (numbers), float (decimals), str (text), and bool (True/False).","['age = 18', 'height = 5.9', ""name = 'Alex'"", 'is_student = True']","Lesson 7: Data Types Common data types in Python are int (numbers), float (decimals), str (text), and bool (True/False). Examples: age = 18 height = 5.9 name = 'Alex' is_student = True",Python Basics,Beginner,1
8,Printing Variables,You can print variables by including them in print().,"[""name = 'John'"", ""print('Hello', name)""]","Lesson 8: Printing Variables You can print variables by including them in print(). Examples: name = 'John' print('Hello', name)",Python Basics,Beginner,1
9,Type Checking,Use the type() function to check what data type a variable has.,"['x = 10', 'print(type(x))']",Lesson 9: Type Checking Use the type() function to check what data type a variable has. Examples: x = 10 print(type(x)),Python Basics,Beginner,1
10,Numbers,Python can handle whole numbers (int) and decimals (float). You can perform arithmetic operations easily.,"['a = 10 + 5', 'b = 3.2 * 2']",Lesson 10: Numbers Python can handle whole numbers (int) and decimals (float). You can perform arithmetic operations easily. Examples: a = 10 + 5 b = 3.2 * 2,Python Basics,Beginner,1
11,Addition and Subtraction,Use + for addition and - for subtraction.,"['x = 5 + 3', 'y = 10 - 2']",Lesson 11: Addition and Subtraction Use + for addition and - for subtraction. Examples: x = 5 + 3 y = 10 - 2,Python Basics,Beginner,1
12,Multiplication and Division,Use * for multiplication and / for division. Division always produces a float.,"['x = 4 * 2', 'y = 9 / 3']",Lesson 12: Multiplication and Division Use * for multiplication and / for division. Division always produces a float. Examples: x = 4 * 2 y = 9 / 3,Python Basics,Beginner,1
13,Exponentiation,Use ** to raise a number to a power.,['x = 2 ** 3  # 2 to the power of 3'],Lesson 13: Exponentiation Use ** to raise a number to a power. Examples: x = 2 ** 3 # 2 to the power of 3,Python Basics,Beginner,1
14,Floor Division and Modulus,"// divides and rounds down, % gives the remainder.","['print(7 // 2)', 'print(7 % 2)']","Lesson 14: Floor Division and Modulus // divides and rounds down, % gives the remainder. Examples: print(7 // 2) print(7 % 2)",Python Basics,Beginner,1
15,Strings,Strings are text in quotes. You can use single or double quotes.,"[""name = 'John'"", 'greeting = ""Hi there!""']","Lesson 15: Strings Strings are text in quotes. You can use single or double quotes. Examples: name = 'John' greeting = ""Hi there!""",Python Basics,Beginner,1
16,Combining Strings,You can combine (concatenate) strings using +.,"[""first = 'Hello'"", ""second = 'World'"", ""print(first + ' ' + second)""]",Lesson 16: Combining Strings You can combine (concatenate) strings using +. Examples: first = 'Hello' second = 'World' print(first + ' ' + second),Python Basics,Beginner,1
17,String Repetition,Use * to repeat a string multiple times.,"[""print('Hi!' * 3)""]",Lesson 17: String Repetition Use * to repeat a string multiple times. Examples: print('Hi!' * 3),Python Basics,Beginner,1
18,String Indexing,You can access characters in a string using square brackets []. Indexing starts at 0.,"[""word = 'Python'"", 'print(word[0])', 'print(word[-1])']",Lesson 18: String Indexing You can access characters in a string using square brackets []. Indexing starts at 0. Examples: word = 'Python' print(word[0]) print(word[-1]),Python Basics,Beginner,1
19,String Slicing,You can get parts of a string using slicing: string[start:end].,"[""word = 'Python'"", 'print(word[0:3])']",Lesson 19: String Slicing You can get parts of a string using slicing: string[start:end]. Examples: word = 'Python' print(word[0:3]),Python Basics,Beginner,1
20,String Methods,"Strings have built-in methods to modify text like upper(), lower(), and replace().","[""text = 'Hello'"", 'print(text.upper())', ""print(text.replace('H', 'J'))""]","Lesson 20: String Methods Strings have built-in methods to modify text like upper(), lower(), and replace(). Examples: text = 'Hello' print(text.upper()) print(text.replace('H', 'J'))",Python Basics,Beginner,1
21,Getting User Input,Use input() to get data from the user. It always returns a string.,"[""name = input('Enter your name: ')"", ""print('Hello', name)""]","Lesson 21: Getting User Input Use input() to get data from the user. It always returns a string. Examples: name = input('Enter your name: ') print('Hello', name)",Python Basics,Beginner,1
22,Type Conversion,"Convert data types using int(), float(), or str().","[""age = int(input('Enter your age: '))"", 'print(age + 1)']","Lesson 22: Type Conversion Convert data types using int(), float(), or str(). Examples: age = int(input('Enter your age: ')) print(age + 1)",Python Basics,Beginner,1
23,Booleans,Booleans represent True or False values.,"['is_sunny = True', 'is_raining = False']",Lesson 23: Booleans Booleans represent True or False values. Examples: is_sunny = True is_raining = False,Python Basics,Beginner,1
24,Comparison Operators,"You can compare values with ==, !=, >, <, >=, and <=.","['print(5 > 3)', 'print(5 == 3)']","Lesson 24: Comparison Operators You can compare values with ==, !=, >, <, >=, and <=. Examples: print(5 > 3) print(5 == 3)",Python Basics,Beginner,1
25,Logical Operators,"and, or, and not combine or invert boolean values.","['x = 5', 'print(x > 0 and x < 10)', 'print(not False)']","Lesson 25: Logical Operators and, or, and not combine or invert boolean values. Examples: x = 5 print(x > 0 and x < 10) print(not False)",Python Basics,Beginner,1
26,If Statements,If statements let you run code only when a condition is true.,"['age = 18', 'if age >= 18:', ""    print('Adult')""]",Lesson 26: If Statements If statements let you run code only when a condition is true. Examples: age = 18 if age >= 18: print('Adult'),Python Basics,Beginner,1
27,Else Statements,Else runs when the if condition is false.,"['age = 15', 'if age >= 18:', ""    print('Adult')"", 'else:', ""    print('Minor')""]",Lesson 27: Else Statements Else runs when the if condition is false. Examples: age = 15 if age >= 18: print('Adult') else: print('Minor'),Python Basics,Beginner,1
28,Elif Statements,Elif checks additional conditions when the first if is false.,"['grade = 85', 'if grade >= 90:', ""    print('A')"", 'elif grade >= 80:', ""    print('B')"", 'else:', ""    print('C or lower')""]",Lesson 28: Elif Statements Elif checks additional conditions when the first if is false. Examples: grade = 85 if grade >= 90: print('A') elif grade >= 80: print('B') else: print('C or lower'),Python Basics,Beginner,1
29,Indentation,Python uses indentation (spaces) to mark code blocks instead of braces {}.,"['if True:', ""    print('This line is indented')""]",Lesson 29: Indentation Python uses indentation (spaces) to mark code blocks instead of braces {}. Examples: if True: print('This line is indented'),Python Basics,Beginner,1
30,Nested If Statements,You can put if statements inside other if statements.,"['x = 10', 'if x > 5:', '    if x < 15:', ""        print('x is between 5 and 15')""]",Lesson 30: Nested If Statements You can put if statements inside other if statements. Examples: x = 10 if x > 5: if x < 15: print('x is between 5 and 15'),Python Basics,Beginner,1
31,While Loops,A while loop repeats code as long as a condition is true.,"['count = 0', 'while count < 3:', ""    print('Count is', count)"", '    count += 1']","Lesson 31: While Loops A while loop repeats code as long as a condition is true. Examples: count = 0 while count < 3: print('Count is', count) count += 1",Python Basics,Beginner,1
32,For Loops,"A for loop is used to loop through a sequence like a list, string, or range of numbers.","['for i in range(5):', '    print(i)']","Lesson 32: For Loops A for loop is used to loop through a sequence like a list, string, or range of numbers. Examples: for i in range(5): print(i)",Python Basics,Beginner,1
33,Range Function,"The range() function creates a sequence of numbers, usually used in loops.","['for num in range(3):', '    print(num)', 'for num in range(2, 6):', '    print(num)']","Lesson 33: Range Function The range() function creates a sequence of numbers, usually used in loops. Examples: for num in range(3): print(num) for num in range(2, 6): print(num)",Python Basics,Beginner,1
34,Breaking Out of Loops,Use break to stop a loop early when a condition is met.,"['for i in range(5):', '    if i == 3:', '        break', '    print(i)']",Lesson 34: Breaking Out of Loops Use break to stop a loop early when a condition is met. Examples: for i in range(5): if i == 3: break print(i),Python Basics,Beginner,1
35,Skipping with Continue,Use continue to skip to the next iteration of a loop.,"['for i in range(5):', '    if i == 2:', '        continue', '    print(i)']",Lesson 35: Skipping with Continue Use continue to skip to the next iteration of a loop. Examples: for i in range(5): if i == 2: continue print(i),Python Basics,Beginner,1
36,Nested Loops,You can put one loop inside another loop. This is useful for working with grids or pairs of items.,"['for i in range(2):', '    for j in range(3):', '        print(i, j)']","Lesson 36: Nested Loops You can put one loop inside another loop. This is useful for working with grids or pairs of items. Examples: for i in range(2): for j in range(3): print(i, j)",Python Basics,Beginner,1
37,Lists,Lists store multiple values in a single variable. Lists are ordered and can be changed.,"[""fruits = ['apple', 'banana', 'cherry']"", 'print(fruits[0])', ""fruits.append('mango')""]","Lesson 37: Lists Lists store multiple values in a single variable. Lists are ordered and can be changed. Examples: fruits = ['apple', 'banana', 'cherry'] print(fruits[0]) fruits.append('mango')",Python Basics,Beginner,1
38,Accessing List Elements,Access list elements using their index. Indexing starts at 0.,"['numbers = [10, 20, 30]', 'print(numbers[1])']","Lesson 38: Accessing List Elements Access list elements using their index. Indexing starts at 0. Examples: numbers = [10, 20, 30] print(numbers[1])",Python Basics,Beginner,1
39,Changing List Elements,You can change an item in a list by assigning a new value to its index.,"[""colors = ['red', 'blue', 'green']"", ""colors[1] = 'yellow'"", 'print(colors)']","Lesson 39: Changing List Elements You can change an item in a list by assigning a new value to its index. Examples: colors = ['red', 'blue', 'green'] colors[1] = 'yellow' print(colors)",Python Basics,Beginner,1
40,Looping Through Lists,Use a for loop to go through all items in a list.,"[""animals = ['cat', 'dog', 'bird']"", 'for a in animals:', '    print(a)']","Lesson 40: Looping Through Lists Use a for loop to go through all items in a list. Examples: animals = ['cat', 'dog', 'bird'] for a in animals: print(a)",Python Basics,Beginner,1
41,List Methods,"Lists have useful methods like append(), remove(), and sort().","['numbers = [3, 1, 4, 2]', 'numbers.sort()', 'print(numbers)']","Lesson 41: List Methods Lists have useful methods like append(), remove(), and sort(). Examples: numbers = [3, 1, 4, 2] numbers.sort() print(numbers)",Python Basics,Beginner,1
42,List Slicing,You can get a part of a list using slicing: list[start:end].,"['numbers = [0, 1, 2, 3, 4, 5]', 'print(numbers[2:5])']","Lesson 42: List Slicing You can get a part of a list using slicing: list[start:end]. Examples: numbers = [0, 1, 2, 3, 4, 5] print(numbers[2:5])",Python Basics,Beginner,1
43,Tuples,"Tuples are like lists, but they cannot be changed (immutable). They use parentheses ().","[""colors = ('red', 'blue', 'green')"", 'print(colors[0])']","Lesson 43: Tuples Tuples are like lists, but they cannot be changed (immutable). They use parentheses (). Examples: colors = ('red', 'blue', 'green') print(colors[0])",Python Basics,Beginner,1
44,Dictionaries,Dictionaries store key-value pairs. You can use keys to look up values.,"[""person = {'name': 'John', 'age': 21}"", ""print(person['name'])""]","Lesson 44: Dictionaries Dictionaries store key-value pairs. You can use keys to look up values. Examples: person = {'name': 'John', 'age': 21} print(person['name'])",Python Basics,Beginner,1
45,Adding and Changing Dictionary Items,You can add or modify dictionary values using their keys.,"[""person = {'name': 'John', 'age': 21}"", ""person['city'] = 'San Diego'"", ""person['age'] = 22""]","Lesson 45: Adding and Changing Dictionary Items You can add or modify dictionary values using their keys. Examples: person = {'name': 'John', 'age': 21} person['city'] = 'San Diego' person['age'] = 22",Python Basics,Beginner,1
46,Looping Through Dictionaries,"You can loop through keys, values, or both in a dictionary.","[""person = {'name': 'John', 'age': 21}"", 'for key, value in person.items():', '    print(key, value)']","Lesson 46: Looping Through Dictionaries You can loop through keys, values, or both in a dictionary. Examples: person = {'name': 'John', 'age': 21} for key, value in person.items(): print(key, value)",Python Basics,Beginner,1
47,Sets,Sets store unique items and are unordered. They are useful when you don’t want duplicates.,"[""fruits = {'apple', 'banana', 'apple'}"", 'print(fruits)']","Lesson 47: Sets Sets store unique items and are unordered. They are useful when you don’t want duplicates. Examples: fruits = {'apple', 'banana', 'apple'} print(fruits)",Python Basics,Beginner,1
48,Adding and Removing from Sets,Use add() to add items and remove() to remove items from a set.,"[""colors = {'red', 'green'}"", ""colors.add('blue')"", ""colors.remove('red')""]","Lesson 48: Adding and Removing from Sets Use add() to add items and remove() to remove items from a set. Examples: colors = {'red', 'green'} colors.add('blue') colors.remove('red')",Python Basics,Beginner,1
49,Functions,Functions are reusable blocks of code that perform specific tasks. Define them with def.,"['def greet():', ""    print('Hello!')"", '', 'greet()']",Lesson 49: Functions Functions are reusable blocks of code that perform specific tasks. Define them with def. Examples: def greet(): print('Hello!') greet(),Python Basics,Beginner,1
50,Function Parameters,"Functions can take parameters, which are values you pass in.","['def greet(name):', ""    print('Hello,', name)"", '', ""greet('John')""]","Lesson 50: Function Parameters Functions can take parameters, which are values you pass in. Examples: def greet(name): print('Hello,', name) greet('John')",Python Basics,Beginner,1
51,Return Values,Functions can return values using the return keyword.,"['def add(a, b):', '    return a + b', '', 'result = add(3, 4)', 'print(result)']","Lesson 51: Return Values Functions can return values using the return keyword. Examples: def add(a, b): return a + b result = add(3, 4) print(result)",Python Basics,Beginner,1
52,Default Parameters,You can give function parameters default values.,"[""def greet(name='friend'):"", ""    print('Hello,', name)"", '', 'greet()', ""greet('John')""]","Lesson 52: Default Parameters You can give function parameters default values. Examples: def greet(name='friend'): print('Hello,', name) greet() greet('John')",Python Basics,Beginner,1
53,Scope of Variables,Variables created inside functions exist only inside them (local scope).,"['def example():', '    x = 5', '    print(x)', '', 'example()', '# print(x) ❌ This would cause an error']",Lesson 53: Scope of Variables Variables created inside functions exist only inside them (local scope). Examples: def example(): x = 5 print(x) example() # print(x) ❌ This would cause an error,Python Basics,Beginner,1
54,Importing Modules,Modules are files that contain Python code you can reuse. Use import to include them.,"['import math', 'print(math.sqrt(16))']",Lesson 54: Importing Modules Modules are files that contain Python code you can reuse. Use import to include them. Examples: import math print(math.sqrt(16)),Python Basics,Beginner,1
55,Random Numbers,The random module can generate random numbers or choices.,"['import random', 'print(random.randint(1, 10))', ""print(random.choice(['apple', 'banana', 'cherry']))""]","Lesson 55: Random Numbers The random module can generate random numbers or choices. Examples: import random print(random.randint(1, 10)) print(random.choice(['apple', 'banana', 'cherry']))",Python Basics,Beginner,1
56,Working with Strings and Numbers Together,"You can’t add strings and numbers directly, but you can use commas in print() or convert using str().","['age = 21', ""print('I am', age, 'years old.')"", ""print('I am ' + str(age) + ' years old.')""]","Lesson 56: Working with Strings and Numbers Together You can’t add strings and numbers directly, but you can use commas in print() or convert using str(). Examples: age = 21 print('I am', age, 'years old.') print('I am ' + str(age) + ' years old.')",Python Basics,Beginner,1
57,File Reading,Use open() and read() to read text from a file.,"[""file = open('example.txt', 'r')"", 'content = file.read()', 'print(content)', 'file.close()']","Lesson 57: File Reading Use open() and read() to read text from a file. Examples: file = open('example.txt', 'r') content = file.read() print(content) file.close()",Python Basics,Beginner,1
58,File Writing,You can write to files using the 'w' mode with open(). Be careful—it replaces the file’s contents.,"[""file = open('example.txt', 'w')"", ""file.write('Hello file!')"", 'file.close()']","Lesson 58: File Writing You can write to files using the 'w' mode with open(). Be careful—it replaces the file’s contents. Examples: file = open('example.txt', 'w') file.write('Hello file!') file.close()",Python Basics,Beginner,1
59,With Statement for Files,Using with automatically closes the file when done.,"[""with open('example.txt', 'r') as file:"", '    print(file.read())']","Lesson 59: With Statement for Files Using with automatically closes the file when done. Examples: with open('example.txt', 'r') as file: print(file.read())",Python Basics,Beginner,1
60,Putting It All Together,"You can combine variables, loops, conditionals, and functions to make small programs.","['def greet_users(users):', '    for name in users:', '        if len(name) > 3:', ""            print('Hello,', name)"", '', ""greet_users(['Ali', 'John', 'Bo'])""]","Lesson 60: Putting It All Together You can combine variables, loops, conditionals, and functions to make small programs. Examples: def greet_users(users): for name in users: if len(name) > 3: print('Hello,', name) greet_users(['Ali', 'John', 'Bo'])",Python Basics,Beginner,1
